tag,formula,in_master_pi_data,ref_count,refs,boiler_unit,bucket,notes
FUR_8_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_8_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_FLUE_GAS_O2,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_1_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_2_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_3_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_4_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_5ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_6_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_7_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_PASS_8_ETHANE_FEED,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
FUR_9_STACK_TEMPERATURE,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_A_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_A_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_B_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_B_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_C_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_C_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_D_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_D_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_E_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_E_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_F_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_F_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_G_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_G_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_H_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_H_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_J_COT,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Furnace_J_Fuel_gas_flow,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
HP_to_MP_Letdown_Valve_Opening_PV0007A_UO,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
HP_to_MP_Letdown_Valve_Opening_PV0007B_UO,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
LHV,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
MP_to_LP_Letdown_Valve_Opening_PV013A_UO,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
MP_to_LP_Letdown_Valve_Opening_PV013B_UO,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
MP_to_LP_Letdown_Valve_Opening_PV31_UO,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
MP_to_LP_Letdown_Valve_Opening_PV32_UO,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Overall_SHC_Ratio,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Specific_energy_consumption_in_C2R,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
Suction_Press_1Stage,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
VHP_BFW_B_Turb_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
VHP_BFW_C_Turb_Steam_raw,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
VHP_BFW_FROM_U_O,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
VHP_DESPHTR_BFW_FROM_U_O,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
VHP_Steam_Pressure,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
VHP_to_HP_Let_Down_Valve_Opening_PX7024A_ETH,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
VHP_to_HP_Let_Down_Valve_Opening_PX7024B_ETH,,True,0,,,needs_pi_in_hierarchy,no inferred formula; appears in master_pi_data -> raw PI snapshot input
ETH_Plant_Status,"if(if(missing([Total_Ethylene_Production_ETH_Plant]),0,[Total_Ethylene_Production_ETH_Plant])>100,1,0)",True,1,Total_Ethylene_Production_ETH_Plant,,regression,"references regression-style tags: ['Total_Ethylene_Production_ETH_Plant', 'Total_Ethylene_Production_ETH_Plant']"
